,id,title,diseno,ncValue,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16
50,107107.0,CANCHA DE BALONCESTO BO. CAÑABON   BO CAÑABON,Completado,,"CANCHA DE BALONCESTO BO. CAÑABON   BO CAÑABON, BARRANQUITAS, Puerto Rico",18.23033,-66.335579,Cancha de Baloncesto Bo. Cañabon Barranquitas,PA-02-PR-4339-PW-08416,47198,42478,42478,4720,Barranquitas,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,26/03/2021,Proyecto 428
52,107107.0,Villa Fontana   Concesionary,Diseño,100,,18.400115,-65.969786,MCAR298 Villa Fontana Recreational Facilities,PA-02-PR-4339-PW-03501,252702,227432,0,25270,Carolina,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,23/06/2020,Proyecto 406
54,107107.0,Borinquen Baseball Park,Adquisición de construcción,,,18.091599,-67.154121,MCAB024 - Cabo Rojo Baseball Parks 2,PA-02-PR-4339-PW-06610,99231,89308,89308,9923,Cabo Rojo,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,28/04/2022,Proyecto 406
56,107107.0,Boqueron Recreational Plaza,Adquisición de construcción,,,18.026919,-67.170271,MCAB043 - Cabo Rojo Recreational Parks 2,PA-02-PR-4339-PW-06639,58948,53053,53053,5895,Cabo Rojo,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,28/04/2022,Proyecto 406
58,107107.0,Las 400tas,Completado,,,,,"Bridge-Repair- PR-185 Km 7.6,La Vega camino La Mata Burro (Canóvanas)",PA-02-PR-4339-PW-01503,2508965,2258069,1422605,250896,Canóvanas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,19/07/2022,Proyecto 428
60,107107.0,Cubuy Basketball Court,Completado,,,18.2728,-65.8799,Improved Project - MCAN157- Cubuy Basketball Court,PA-02-PR-4339-PW-01510,651777,586599,403829,65178,Canóvanas,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,19/06/2020,Proyecto 428
62,107107.0,La Mata Burro Main Street #3,Completado,,,18.303935,-65.877908,MCAN025- [Improved Project] La Vega Road,PA-02-PR-4339-PW-02205,198023,178221,129088,19802,Canóvanas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,04/02/2020,Proyecto 428
64,107107.0,Boqueron Baseball Park,Construcción,N/A,,18.029281,-67.165871,MCAB041 - Boqueron Baseball Park,PA-02-PR-4339-PW-07695,85931,77338,77338,8593,Cabo Rojo,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,28/04/2022,Proyecto 406
66,107107.0,MCAG160-Anfiteatro Víctor Torres Lizardi,Diseño,10,,,,MCAG004-Buildings Group-02,PA-02-PR-4339-PW-02818,783981,705583,0,78398,Caguas,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,19/05/2020,Proyecto 406
68,107107.0,Urb. Jardines de Carolina Recreational Facilities,Construcción,10,,18.377923,-65.974128,MCAR213 Jardines de Carolina Recreational Parks,PA-02-PR-4339-PW-03783,378218,340396,0,37822,Carolina,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,24/06/2020,Proyecto 406
70,107107.0,Estacion Sexta Villa Carolina - Policia Municipal(Villa Carolina 6th Sec. Municipal Police),Construcción,N/A,,18.404699,-65.980103,MCAR117 Estacion Sexta Villa Carolina - Policia Municipal(Villa Carolina 6th Sec. Municipal Police),PA-02-PR-4339-PW-04247,41793,37614,37614,4179,Carolina,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,08/07/2020,Proyecto 428
72,107107.0,Estacion Los Angeles - Policia Municipal(Los Angeles Municipal Police Station),Construcción,N/A,,18.428876,-66.014396,MCAR114  Estacion Los Angeles - Policia Municipal(Los Angeles Municipal Police Station),PA-02-PR-4339-PW-04278,17740,15966,15966,1774,Carolina,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,12/05/2020,Proyecto 428
74,107107.0,Pista Atlética Jaime Rivera Hance PR-9959,Completado,,,18.3781,-65.9032,MCAN155 Jaime Rivera Hance Athletic Park,PA-02-PR-4339-PW-03047,171126,154013,154013,17113,Canóvanas,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,12/08/2020,Proyecto 428
76,107107.0,Las Magas Camino 1,Completado,,,18.322687,-65.877469,MCAN017- Palma Sola Roads,PA-02-PR-4339-PW-03236,643598,579238,0,64360,Canóvanas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,22/12/2020,Proyecto 428
78,107107.0,Public Library,Completado,,,18.089601,-67.146399,MCAB030 - Public Library,PA-02-PR-4339-PW-04516,36613,32952,32952,3661,Cabo Rojo,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,08/10/2020,Proyecto 406
80,107107.0,Joyudas Baseball Park,Adquisición de construcción,,,18.112368,-67.177451,MCAB024 - Cabo Rojo Baseball Parks 2,PA-02-PR-4339-PW-06610,99231,89308,89308,9923,Cabo Rojo,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,28/04/2022,Proyecto 406
82,107107.0,Guaniquilla Basketball Court,Adquisición de construcción,,,18.059782,-67.186735,MCAB044 - Multiple Facilities 2,PA-02-PR-4339-PW-06689,161441,145297,0,16144,Cabo Rojo,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,28/04/2022,Proyecto 406
84,107107.0,Estacion Villa Esperanza - Policia Municipal(Villa Esperanza Municipal Police Station),Construcción,N/A,,18.393958,-65.950787,MCAR119 Estacion Villa Esperanza - Policia Municipal(Villa Esperanza Municipal Police Station),PA-02-PR-4339-PW-04280,10808,9727,9727,1081,Carolina,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,07/04/2020,Proyecto 428
86,107107.0,Bo.Martín González C/# 887 (Municipal Police and Emergency Management Building),Construcción,N/A,,18.380085,-65.96728,MCAR118 Municipal Police and Emergency Management Building,PA-02-PR-4339-PW-04357,63228,56905,56905,6323,Carolina,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,02/10/2020,Proyecto 428
88,107107.0,Centro de Personas de Edad Avanzadas,Construcción,N/A,,18.3782,-65.8974,MCAN059 Elderly Care Center Urb. El Pilar,PA-02-PR-4339-PW-03966,93913,84522,84522,9391,Canóvanas,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,02/04/2020,Proyecto 428
90,107107.0,Calle Laurel Condesa,Adquisición de construcción,,,18.2689,-65.8786,[A&E] MCAN039- Bo. Cubuy,PA-02-PR-4339-PW-04388,122238,110014,110014,12224,Canóvanas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,02/12/2020,Proyecto 406
92,107107.0,Alcaldia - Plaza - Teatro Braulio Castillo (City Hall - Braulio Castillo Teather),Adquisición de construcción,,"various locations (see table for details), Bayamon, Puerto Rico",18.394091,-66.147377,MBAY010 - Bayamon City Hall,PA-02-PR-4339-PW-01197,5522923,4970631,79875,552292,Bayamón,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,11/02/2022,Proyecto 428
94,107107.0,Villa Cooperativa Centro Comunal(Villa Cooperativa Comunity Center),Diseño,100,,18.401693,-65.956434,MCAR154 Villa Cooperativa Recreational Facilities,PA-02-PR-4339-PW-04422,277910,250119,0,27791,Carolina,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,24/07/2020,Proyecto 406
96,107107.0,Borinquen Basketball Court,Adquisición de construcción,,,18.089565,-67.153589,MCAB047 - Cabo Rojo Basket Courts 2,PA-02-PR-4339-PW-06730,131771,118594,41743,13177,Cabo Rojo,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,28/04/2022,Proyecto 406
98,107107.0,MCAG024 - La Esmeralda Orquidea Street,Diseño,10,"La Esmeralda, Orquidea Street, Caguas, Puerto Rico, 00727",18.191243,-66.09347,MCAG157 - Roads Group 6,PA-02-PR-4339-PW-02958,997425,897682,62016,99743,Caguas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,09/06/2022,Proyecto 406
100,107107.0,MCAG031 - Los Claudios Municipal Road,Diseño,10,"Los Claudios Municipal Road, Bo. Tomas de Castro PR-789, Caguas, Puerto Rico, 00727",18.19456,-66.00843,MCAG002 Caguas Roads Group No 2,PA-02-PR-4339-PW-03481,160703,144633,36158,16070,Caguas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,20/11/2020,Proyecto 406
102,107107.0,Oficina de Recreación y Deportes Calle Girasol final,Construcción,N/A,,18.372055,-65.914912,MCAN005 Loiza Valley Sports Centers,PA-02-PR-4339-PW-05439,61367,55230,55230,6137,Canóvanas,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,25/09/2020,Proyecto 428
104,107107.0,Centro Comunal Pueblo Indio,Construcción,N/A,,18.4028,-65.9129,MCAN050 Community Centers 3,PA-02-PR-4339-PW-06050,31401,28261,28261,3140,Canóvanas,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,06/08/2020,Proyecto 428
106,107107.0,Alcaldia - Legislatura Municipal (City Hall-Municipal Legislarure),Construcción,90,"various locations (see table for details), Trujillo Alto, Puerto Rico",18.396148,-66.15566,MBAY010 - Bayamon City Hall,PA-02-PR-4339-PW-01197,5522923,4970631,79875,552292,Bayamón,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,11/02/2022,Proyecto 428
108,107107.0,Alcaldia Bayamon Piso 1 2 3 4 & 5 A/C & Elevadores (Bayamon City Hall Floors 1 2 3 4 & 5 A/C and Elevators),Construcción,35,,18.396148,-66.15566,MBAY010 - Bayamon City Hall,PA-02-PR-4339-PW-01197,5522923,4970631,79875,552292,Bayamón,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,11/02/2022,Proyecto 428
110,107107.0,Complejo de Soccer Bayamon I (Bayamon Soccer Complex I),Construcción,25,"various locations (see table for details), Trujillo Alto, Puerto Rico",18.366514,-66.166414,Bayamón Soccer Complex II (Bayamón),PA-02-PR-4339-PW-01715,4175224,3757702,3272099,417522,Bayamón,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,14/08/2020,Proyecto 428
112,107107.0,Municipal Gym,Completado,,,18.078989,-67.146953,AppCert MCAB034 - Municipal Gym,PA-02-PR-4339-PW-08752,12286,11057,11057,1229,Cabo Rojo,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,03/05/2021,Proyecto 406
114,107107.0,Parque de Pelota Las 400- Restrooms,Construcción,N/A,,18.269329,-65.914547,MCAN012 Las 400 Sector Sports Facilities,PA-02-PR-4339-PW-07525,12924,11632,11632,1292,Canóvanas,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,07/12/2020,Proyecto 428
116,107107.0,Cancha de baloncesto Las 400,Construcción,N/A,,18.269329,-65.914547,MCAN012 Las 400 Sector Sports Facilities,PA-02-PR-4339-PW-07525,12924,11632,11632,1292,Canóvanas,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,07/12/2020,Proyecto 428
118,107107.0,CENTRO COMUNAL  Jardines de Caparra (Jardines de Caparra Community Center ),Construcción,90,"Ruiz Soler Ave. corner Marginal Norte St. , Bayamon, Puerto Rico, 00959",18.39851,-66.12709,Jardines de Caparra Community Center Bldg. (Bayamón),PA-02-PR-4339-PW-01992,1631598,1468438,0,163160,Bayamón,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,14/07/2020,Proyecto 428
120,107107.0,SECTOR LOS RIOS - Derrumbe (Landslide - Los Rios Sector),Completado,,,18.397045,-66.155107,MBAY011 - Carreteras & Derrumbes (Roads and Landslides),PA-02-PR-4339-PW-02470,637707,573936,0,63771,Bayamón,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,04/02/2020,Proyecto 428
122,107107.0,MCAG112 - Hato Arriba Conector PR-7765 Lado Frio,Diseño,10,"PR-7765, La Plaza Sector, San Salvador Ward, Caguas, Puerto Rico, 00725",18.13714,-66.04061,MCAG002 Caguas Roads Group No 2,PA-02-PR-4339-PW-03481,160703,144633,36158,16070,Caguas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,20/11/2020,Proyecto 406
124,107107.0,MCAG120 - Alturas de Caguas PR-761 Site 4,Diseño,10,"Alturas de Caguas, PR-761, Borinquen Ward, Caguas, Puerto Rico, 00727",18.18625,-66.03853,MCAG002 Caguas Roads Group No 2,PA-02-PR-4339-PW-03481,160703,144633,36158,16070,Caguas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,20/11/2020,Proyecto 406
126,107107.0,Parque Beisbol Villa Carolina 6ta.( 6th Sect Villa Carolina Baseball Park),Construcción,80,,18.420676,-65.959692,MCAR207 6th Sect Villa Carolina Basktball Cover Court,PA-02-PR-4339-PW-04802,839541,755587,0,83954,Carolina,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,18/06/2020,Proyecto 406
128,107107.0,Metropolis I Recretional Facilities Office Building,Construcción,25,,18.369685,-65.987636,MCAR123 Metropolis I Recreational Facilities,PA-02-PR-4339-PW-04812,377987,340188,0,37799,Carolina,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,18/06/2020,Proyecto 406
130,107107.0,CENTRO DE PRESERVACION ECOLOGICA - FINCA BULA (Ecological Preservation Center - Bula Farm),Construcción,N/A,,18.344311,-66.139241,MBAY080 Small Projects SP 31,PA-02-PR-4339-PW-03489,42782,38504,38504,4278,Bayamón,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,23/03/2020,Proyecto 428
132,107107.0,Basketball Court Royal Gardens House Complex Blanca St.,Construcción,N/A,"Community Residential Estancias de Cerro Gordo 8 St , Bayamon, Puerto Rico, 00957",18.374978,-66.179144,MBAY048 Small Projects SP 03,PA-02-PR-4339-PW-03573,86701,78031,78031,8670,Bayamón,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,23/03/2020,Proyecto 428
134,107107.0,MBAY018 - Complejo Onofre Carballeira- Estadio Juan Ramon Loubriel (Onofre Carballeira Sports Complex - Juan Ramon Loubriel Stadium),Construcción,75,"various locations (see table for details), Puerto Rico",18.392899,-66.151573,Onofre Carballeira Sports Complex - Ruben Rodriguez Coliseum (Bayamón),PA-02-PR-4339-PW-03692,3268932,2942039,0,326893,Bayamón,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,30/07/2021,Proyecto 428
136,107107.0,MCAG673 Bo. Borinquen Sector Lajitas Road,Diseño,5,,18.15868,-66.0233,MCAG142 - Sector Lajitas roads,PA-02-PR-4339-PW-03606,135284,121756,30439,13528,Caguas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,21/08/2020,Proyecto 406
138,107107.0,MCAG011 - Road Hacienda Ramonita,Construcción,15,"Municipal road located at Sector Turabo, PR-1 Interior, Caguas, Puerto Rico, 00727",18.19552,-66.0592,Road-Asphalt Repair -  PR-172 Sector Los Pinos Ward Cañaboncito (Caguas),PA-02-PR-4339-PW-03835,1261641,1135477,45170,126164,Caguas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,15/06/2021,Proyecto 406
140,107107.0,Bo Cubuy Sector Añoranza Camino I (antenas),Diseño,40,,18.27553,-65.85734,MCAN022- Bo. Cubuy (Asphalt),PA-02-PR-4339-PW-07723,241140,217026,0,24114,Canóvanas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,17/02/2021,Proyecto 428
142,107107.0,(Tsunami Alarm) Altavoz Waldorf Tower,Completado,,,18.446805,-66.033055,MCAR165 Tsunami Alarms Carolina (Municipio),PA-02-PR-4339-PW-01395,311480,280332,208133,31148,Carolina,Huracán María (4339),Municipios,Categoría F - Servicio Básico,Grande,13/08/2019,Proyecto 428
144,107107.0,Complejo Onofre Carballeira -Pkg-Engine 4-Zona Solar ( Pkg-Engine 4-Solar Zone),Construcción,20,"various locations (see table for details), Puerto Rico",18.394442,-66.151862,Onofre Carballeira Sports Complex - Ruben Rodriguez Coliseum (Bayamón),PA-02-PR-4339-PW-03692,3268932,2942039,0,326893,Bayamón,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,30/07/2021,Proyecto 428
146,107107.0,MCAG164 - Antigua Casa Alcaldía - Museo Historico,Diseño,10,"PR-1, Muñoz Rivera St., Caguas, Puerto Rico, 00725",18.23483,-66.03587,MCAG003-Building Group-01,PA-02-PR-4339-PW-04000,700996,630896,0,70100,Caguas,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,16/10/2020,Proyecto 406
148,107107.0,Solid Waste Transfer Station,Adquisición de diseño,,,18.263208,-66.034047,MCAG155 - Waste Management Bldg,PA-02-PR-4339-PW-04122,345846,311261,0,34585,Caguas,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,22/05/2020,Proyecto 406
150,107107.0,Yldefonso Sola Morales Baseball Stadium - Contents,Construcción,95,,18.22636,-66.03431,Idelfonso Sola Morales Baseball Stadium (Caguas),PA-02-PR-4339-PW-04261,4221632,3799469,1990515,422163,Caguas,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,01/09/2020,Proyecto 406
152,107107.0,Avenida Isla Verde (Municipality Service Center),Construcción,N/A,,18.441679,-66.024766,MCAR350 Isla Verde Municipal Service Center,PA-02-PR-4339-PW-05217,16494,14845,14845,1649,Carolina,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,04/12/2020,Proyecto 406
154,107107.0,Santa Cruz Community Center,Construcción,0,,18.350527,-65.938015,MCAR153 Santa Cruz Facilities and Roads,PA-02-PR-4339-PW-05354,244700,220230,0,24470,Carolina,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,23/06/2020,Proyecto 406
156,107107.0,Mansiones Mountain View Bo. Trujillo Bajo (Community Center),Diseño,100,,18.368819,-65.942371,MCAR216 Mountain View Recreational Facilities,PA-02-PR-4339-PW-05513,196944,177250,0,19694,Carolina,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,24/06/2020,Proyecto 406
158,107107.0,Villa Cooperativa Cancha de Baloncesto y Volleyball(Villa Cooperativa Basketball & Volleyball Court),Diseño,100,,18.401779,-65.955929,MCAR154 Villa Cooperativa Recreational Facilities,PA-02-PR-4339-PW-04422,277910,250119,0,27791,Carolina,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,24/07/2020,Proyecto 406
160,107107.0,Sector Lajitas Camino Municipal PR765 Site #2 - Culvert,Diseño,5,,18.16078,-66.02849,MCAG142 - Sector Lajitas roads,PA-02-PR-4339-PW-03606,135284,121756,30439,13528,Caguas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,21/08/2020,Proyecto 406
